1,AT ==> DE ==> BG,,,,,,,,,"If any country use the Germany as Transit Hub ""Additional Time"" and ""Additional KM""",,,,,,,,,,,,
,,,,,,,,,,,,ORG,DEST,,,Time ,Km,Time2,Km2,,Total Time,Total Km
,,,,,,,,,,ES ==> DE ==> DK,3,Speyer,Regensburg,Hamburg,,5.45,600,,,,,
,AT,DE,,Regensburg,,,Feucht,Zagreb,,ES ==> DE ==> ES,4,Speyer,,,,0.00,0,,,,,
,,,,,,,,,,ES ==> DE ==> FI,5,Speyer,Regensburg,Hamburg,,5.45,600,,,,,
10,AT ==> DE ==> HU,,,,,,,,,ES ==> DE ==> FR,6,Speyer,Regensburg,Lahr,,1.35,144,,,,,
,,,,,,,,,,ES ==> DE ==> GB,7,Speyer,Regensburg,Dorsten,,3.32,351,,,,,
,AT,DE,,Regensburg,,,Feucht,Budapest,,ES ==> DE ==> GR,8,Speyer,Regensburg,Feucht,,2.15,233,,,,,
,,,,,,,,,,ES ==> DE ==> HR,9,Speyer,Regensburg,Feucht,,2.15,233,,,,,
11,AT ==> DE ==> IE,,,,,,,,,ES ==> DE ==> HU,10,Speyer,Regensburg,Feucht,,2.15,233,,,,,
,,,,,,,,,,ES ==> DE ==> IE,11,Speyer,Regensburg,Köln,,2.53,263,,,,,
,AT,DE,,Regensburg,,,Köln,Dublin,,ES ==> DE ==> LU,12,Speyer,Regensburg,Köln,,2.53,263,,,,,
,,,,,,,,,,ES ==> DE ==> NL,13,Speyer,Regensburg,Dorsten,,3.32,351,,,,,
12,AT ==> DE ==> LU,,,,,,,,,ES ==> DE ==> PT,14,Speyer,,,,0.00,0,,,,,
,,,,,,,,,,ES ==> DE ==> RO,15,Speyer,Regensburg,Feucht,,2.15,233,,,,,
,AT,DE,,Regensburg,,,Köln,Bettembourg,,ES ==> DE ==> SE,16,Speyer,Regensburg,Hamburg,,5.45,600,,,,,
,,,,,,,,,,ES ==> DE ==> SI,17,Speyer,Regensburg,,,2.95,325,,,,,
13,AT ==> DE ==> NL,,,,,,,,,ES ==> DE ==> SK,18,Speyer,Regensburg,,,2.95,325,,,,,
,,,,,,,,,,GB ==> DE ==> BG,1,Köln,Regensburg,Feucht,,3.87,429,,,,,
,AT,DE,,Regensburg,,,Dorsten,Zaltbommel,,GB ==> DE ==> BE,2,Köln,,,,0.00,0,,,,,
,,,,,,,,,,GB ==> DE ==> DK,3,Köln,Regensburg,Hamburg,,4.00,425,,,,,
14,AT ==> DE ==> PT,,,,,,,,,GB ==> DE ==> GB,4,Köln,Regensburg,Speyer,,2.53,263,,,,,
,,,,,,,,,,GB ==> DE ==> FI,5,Köln,Regensburg,Hamburg,,4.00,425,,,,,
,AT,DE,,Regensburg,,,Speyer,Lisbon,,GB ==> DE ==> FR,6,Köln,Regensburg,Lahr,,3.57,394,,,,,
,,,,,,,,,,GB ==> DE ==> GB,7,Köln,Regensburg,Dorsten,,1.12,97.8,,,,,
15,AT ==> DE ==> RO,,,,,,,,,GB ==> DE ==> GR,8,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,GB ==> DE ==> HR,9,Köln,Regensburg,Feucht,,3.87,429,,,,,
,AT,DE,,Regensburg,,,Feucht,Oradea,,GB ==> DE ==> HU,10,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,GB ==> DE ==> IE,11,Köln,,,,0.00,0,,,,,
16,AT ==> DE ==> SE,,,,,,,,,GB ==> DE ==> LU,12,Köln,Regensburg,Köln,,0.00,0,,,,,
,,,,,,,,,,GB ==> DE ==> NL,13,Köln,Regensburg,Dorsten,,1.12,97.8,,,,,
,AT,DE,,Regensburg,,,Hamburg,Malmö,,GB ==> DE ==> PT,14,Köln,Regensburg,Speyer,,2.53,263,,,,,
,,,,,,,,,,GB ==> DE ==> RO,15,Köln,Regensburg,Feucht,,3.87,429,,,,,
17,AT ==> DE ==> SI,,,,,,,,,GB ==> DE ==> SE,16,Köln,Regensburg,Hamburg,,4.00,425,,,,,
,,,,,,,,,,GB ==> DE ==> SI,17,Köln,Regensburg,,,4.43,506,,,,,
,AT,DE,,Regensburg,,,Regensburg,Ljubljana,,GB ==> DE ==> SK,18,Köln,Regensburg,,,4.43,506,,,,,
,,,,,,,,,,HU ==> DE ==> BG,1,Regensburg,Feucht,,,0.90,92,,,,,
18,AT ==> DE ==> SK,,,,,,,,,HU ==> DE ==> BE,2,Regensburg,Köln,,,4.35,504,,,,,
,,,,,,,,,,HU ==> DE ==> DK,3,Regensburg,Hamburg,,,5.90,705,,,,,
,AT,DE,,Regensburg,,,Regensburg,Ivanka pri Dunaji,,HU ==> DE ==> HU,4,Regensburg,Speyer,,,2.90,325,,,,,
,,,,,,,,,,HU ==> DE ==> FI,5,Regensburg,Hamburg,,,5.90,705,,,,,
19,CZ ==> DE ==>,,,,,,,,,HU ==> DE ==> FR,6,Regensburg,Lahr,,,3.77,430,,,,,
,,,,,,,,,,HU ==> DE ==> HU,7,Regensburg,Dorsten,,,5.05,591,,,,,
,CZ,DE,Plzen,Feucht,,,,Feucht,,HU ==> DE ==> GR,8,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,HU ==> DE ==> HR,9,Regensburg,Feucht,,,0.90,92,,,,,
20,CZ==>PL==>LT,,,,,,,,,HU ==> DE ==> HU,10,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,HU ==> DE ==> IE,11,Regensburg,Köln,,,4.35,504,,,,,
,CZ,PL,Ostrava,Zabrze,,,E?k,Kaunas,,HU ==> DE ==> LU,12,Regensburg,Köln,,,4.35,504,,,,,
,,,,,,,,,,HU ==> DE ==> NL,13,Regensburg,Dorsten,,,5.05,591,,,,,
21,ES==>DE,,,,,,,,,HU ==> DE ==> PT,14,Regensburg,Speyer,,,2.90,325,,,,,
,,,,,,,,,,HU ==> DE ==> RO,15,Regensburg,Feucht,,,0.90,92,,,,,
,ES,DE,Barcelona,Speyer,,,,Speyer,,HU ==> DE ==> SE,16,Regensburg,Hamburg,,,5.90,705,,,,,
,,,,,,,,,,HU ==> DE ==> SI,17,Regensburg,,,,0.00,0,,,,,
22,GB==>DE,,,,,,,,,HU ==> DE ==> SK,18,Regensburg,,,,0.00,0,,,,,
,,,,,,,,,,LT ==> DE ==> BG,1,Radefeld,Regensburg,Feucht,,2.40,281,,,,,
,GB,DE,Slough,Köln,,,,Köln,,LT ==> DE ==> BE,2,Radefeld,Regensburg,Köln,,4.43,495,,,,,
